,Country,Last Update,Confirmed,Deaths,Recovered
0,,2020-03-17T11:53:10,67799,3111,56003
1,,2020-03-17T18:33:02,31506,2503,2941
2,,2020-03-17T15:13:09,16169,988,5389
3,,2020-03-17T20:53:02,11748,533,1028
4,,2020-03-17T18:53:02,9257,24,67
5,,2020-03-17T10:33:03,8320,81,1407
6,,2020-03-17T19:13:08,7652,148,12
7,,2020-03-17T16:33:04,2700,27,4
8,,2020-03-17T15:13:09,1950,55,52
9,,2020-03-17T22:53:03,1706,13,0
10,,2020-03-17T15:13:11,1705,43,2
11,,2020-03-17T19:53:02,1463,3,1
12,,2020-03-17T01:53:03,1364,8,1307
13,,2020-03-17T15:33:06,1332,3,1
14,,2020-03-14T09:53:08,1273,22,1250
15,,2020-03-17T15:33:06,1243,10,1
16,,2020-03-17T02:13:21,1232,1,1216
17,,2020-03-17T15:33:06,1190,7,1
18,,2020-03-17T23:33:03,1076,55,1
19,,2020-03-14T08:33:03,1018,4,1014
20,,2020-03-11T02:18:14,990,6,984
21,,2020-03-17T16:33:04,977,4,1
22,,2020-03-12T02:13:04,935,1,934
23,,2020-03-17T16:53:04,878,29,144
24,,2020-03-17T00:33:02,761,7,746
25,,2020-03-17T22:53:03,698,12,6
26,,2020-03-13T14:13:25,696,7,325
27,,2020-03-17T15:33:06,673,2,49
28,,2020-03-15T01:53:02,631,0,631
29,,2020-03-15T03:53:04,576,6,570
30,,2020-03-17T08:33:02,540,3,520
31,,2020-03-17T01:33:02,482,13,456
32,,2020-03-17T10:53:03,456,8,369
33,,2020-03-17T15:33:06,448,1,3
34,,2020-03-16T15:13:09,439,0,4
35,,2020-03-17T15:33:06,396,0,3
36,,2020-03-17T16:33:04,387,5,8
37,,2020-03-17T02:13:20,358,3,325
38,,2020-03-17T20:53:02,337,0,11
39,,2020-03-17T15:33:06,321,1,2
40,,2020-03-17T12:33:06,321,0,10
41,,2020-03-13T11:09:03,318,6,310
42,,2020-03-11T02:18:14,296,1,295
43,,2020-03-17T16:53:04,275,1,0
44,,2020-03-17T20:13:22,267,3,1
45,,2020-03-17T15:33:06,266,0,114
46,,2020-03-17T00:33:02,253,2,248
47,,2020-03-17T10:53:03,246,3,236
48,,2020-03-17T20:53:02,238,5,13
49,,2020-03-17T15:33:06,236,0,2
50,,2020-03-17T03:13:15,228,1,81
51,,2020-03-17T10:33:03,225,0,1
52,,2020-03-17T02:53:03,223,2,5
53,,2020-03-17T15:33:06,220,1,0
54,,2020-03-17T22:53:02,218,0,1
55,,2020-03-17T23:33:02,216,6,0
56,,2020-03-17T12:33:07,210,4,4
57,,2020-03-17T15:33:06,201,0,0
58,,2020-03-17T18:13:10,196,4,32
59,,2020-03-17T22:53:03,196,4,0
60,,2020-03-17T10:33:03,187,12,5
61,,2020-03-17T16:53:04,185,1,5
62,,2020-03-17T10:33:03,184,0,16
63,,2020-03-17T10:33:03,177,1,41
64,,2020-03-16T23:53:02,176,2,172
65,,2020-03-17T10:33:03,172,5,8
66,,2020-03-17T17:53:03,171,0,6
67,,2020-03-16T14:38:45,168,6,161
68,,2020-03-17T10:13:11,162,4,88
69,,2020-03-17T22:53:03,161,1,2
70,,2020-03-17T22:53:03,160,2,0
71,,2020-03-17T15:33:06,154,11,32
72,,2020-03-17T07:33:03,147,2,144
73,,2020-03-17T20:13:22,146,1,0
74,,2020-03-17T15:33:06,142,3,14
75,,2020-03-17T15:33:06,140,1,0
76,,2020-03-15T18:20:18,136,3,133
77,,2020-03-15T18:20:18,133,2,91
78,,2020-03-13T11:09:03,133,0,133
79,,2020-03-17T10:53:03,130,0,9
80,,2020-03-17T12:13:13,125,1,120
81,,2020-03-17T10:53:03,120,3,3
82,,2020-03-17T15:53:12,117,0,1
83,,2020-03-17T15:53:12,114,0,8
84,,2020-03-17T23:13:10,112,0,0
85,,2020-03-17T20:13:22,110,1,0
86,,2020-03-16T01:33:03,109,7,4
87,,2020-03-16T19:13:13,103,4,4
88,,2020-03-16T00:22:11,98,0,23
89,,2020-03-17T12:53:09,94,0,8
90,,2020-03-16T00:22:10,93,1,92
91,,2020-03-17T10:53:03,82,0,4
92,,2020-03-17T19:33:02,78,0,1
93,,2020-03-17T12:33:07,78,0,8
94,,2020-03-17T08:13:11,77,1,22
95,,2020-03-11T02:18:14,76,3,73
96,,2020-03-16T14:38:45,75,1,73
97,,2020-03-16T14:38:45,75,0,75
98,,2020-03-17T03:13:18,74,0,0
99,,2020-03-17T19:33:03,74,0,0
100,,2020-03-17T23:13:10,74,0,0
101,,2020-03-17T02:13:34,72,0,0
102,,2020-03-17T20:13:22,72,0,1
103,,2020-03-17T10:53:03,69,1,0
104,,2020-03-17T15:53:12,68,2,3
105,,2020-03-17T23:13:10,68,0,0
106,,2020-03-17T10:53:03,67,2,0
107,,2020-03-17T20:53:02,67,0,0
108,,2020-03-17T20:13:22,67,2,0
109,,2020-03-17T23:13:10,66,1,0
110,,2020-03-17T15:53:12,66,0,16
111,,2020-03-17T15:53:12,65,0,1
112,,2020-03-17T10:53:03,65,0,4
113,,2020-03-17T11:13:18,65,0,1
114,,2020-03-17T20:53:02,65,0,0
115,,2020-03-17T23:13:10,64,0,0
116,,2020-03-16T14:38:45,62,0,0
117,,2020-03-17T03:13:15,60,4,12
118,,2020-03-17T16:13:14,60,0,3
119,,2020-03-17T17:53:03,60,0,0
120,,2020-03-17T03:13:15,58,2,0
121,,2020-03-17T15:53:12,56,0,0
122,,2020-03-17T23:33:02,56,1,0
123,,2020-03-17T15:53:12,55,1,0
124,,2020-03-17T20:53:02,51,0,0
125,,2020-03-17T11:13:29,50,1,2
126,,2020-03-17T11:13:29,49,0,1
127,,2020-03-17T10:13:13,47,0,0
128,,2020-03-17T22:13:16,47,1,0
129,,2020-03-16T16:53:06,47,0,0
130,,2020-03-17T23:13:10,47,1,0
131,,2020-03-17T03:13:15,46,0,0
132,,2020-03-17T15:53:12,44,0,1
133,,2020-03-17T03:13:15,41,0,0
134,,2020-03-17T20:53:02,39,0,1
135,,2020-03-17T23:13:10,39,0,0
136,,2020-03-17T15:53:12,38,0,2
137,,2020-03-17T15:53:12,38,2,1
138,,2020-03-16T14:38:45,36,0,3
139,,2020-03-17T11:13:29,34,0,1
140,,2020-03-17T11:13:29,34,0,1
141,,2020-03-17T15:53:13,33,0,1
142,,2020-03-17T15:53:12,33,0,0
143,,2020-03-17T11:33:05,33,0,0
144,,2020-03-17T17:53:03,32,0,0
145,,2020-03-17T12:53:09,31,1,0
146,,2020-03-17T15:53:12,30,0,1
147,,2020-03-17T23:13:10,30,2,0
148,,2020-03-16T14:38:46,29,0,3
149,,2020-03-17T02:13:54,29,0,0
150,,2020-03-17T11:53:10,28,1,6
151,,2020-03-17T15:53:12,26,0,2
152,,2020-03-17T11:53:10,26,0,1
153,,2020-03-17T12:33:06,26,0,2
154,,2020-03-17T23:33:02,26,1,1
155,,2020-03-17T23:13:10,26,0,0
156,,2020-03-17T18:53:02,25,0,1
157,,2020-03-17T11:53:10,24,0,9
158,,2020-03-17T11:53:10,24,0,0
159,,2020-03-16T23:53:03,23,0,0
160,,2020-03-17T23:13:10,23,0,0
161,,2020-03-17T20:53:02,23,0,0
162,,2020-03-17T11:53:10,22,0,1
163,,2020-03-16T17:13:23,22,0,0
164,,2020-03-16T23:53:03,22,0,0
165,,2020-03-17T08:13:22,21,1,0
166,,2020-03-17T20:53:02,21,0,0
167,,2020-03-17T17:53:03,21,0,0
168,,2020-03-17T17:53:03,21,0,0
169,,2020-03-17T23:13:10,20,0,1
170,,2020-03-17T17:53:03,19,0,0
171,,2020-03-11T02:18:14,18,0,18
172,,2020-03-17T10:53:03,18,0,0
173,,2020-03-17T23:13:10,18,1,0
174,,2020-03-17T10:53:03,16,1,0
175,,2020-03-17T23:33:02,16,0,0
176,,2020-03-16T14:38:45,15,0,0
177,,2020-03-17T19:33:02,14,2,0
178,,2020-03-15T18:20:18,13,0,0
179,,2020-03-17T04:32:18,12,0,10
180,,2020-03-17T12:13:16,12,0,2
181,,2020-03-17T11:53:10,12,0,0
182,,2020-03-16T17:13:23,12,0,0
183,,2020-03-16T14:38:45,11,0,0
184,,2020-03-16T14:38:46,11,0,0
185,,2020-03-17T23:33:02,11,0,0
186,,2020-03-17T23:33:02,11,1,0
187,,2020-03-17T23:53:03,11,0,0
188,,2020-03-17T12:13:16,10,0,3
189,,2020-03-17T15:53:13,10,0,0
190,,2020-03-17T17:33:03,10,0,0
191,,2020-03-17T12:13:16,10,0,0
192,,2020-03-17T11:13:29,9,0,0
193,,2020-03-17T12:13:16,9,0,0
194,,2020-03-17T07:15:25,9,0,0
195,,2020-03-17T17:33:03,9,0,0
196,,2020-03-17T03:13:18,8,0,0
197,,2020-03-17T19:33:03,8,0,0
198,,2020-03-17T19:33:03,8,0,0
199,,2020-03-17T12:13:16,8,0,0
200,,2020-03-17T23:33:02,8,0,0
201,,2020-03-16T14:38:46,7,0,0
202,,2020-03-17T19:33:03,7,0,0
203,,2020-03-16T20:13:20,7,0,0
204,,2020-03-17T07:33:03,7,0,0
205,,2020-03-17T19:33:02,7,0,0
206,,2020-03-17T10:53:03,7,1,0
207,,2020-03-17T12:13:16,7,0,0
208,,2020-03-16T14:38:45,7,0,0
209,,2020-03-17T02:33:10,7,0,0
210,,2020-03-17T07:33:03,6,0,0
211,,2020-03-17T12:13:16,6,1,0
212,,2020-03-16T14:38:45,6,0,0
213,,2020-03-17T14:33:05,5,0,1
214,,2020-03-17T15:53:13,5,0,0
215,,2020-03-16T14:38:45,5,0,0
216,,2020-03-17T15:53:13,5,0,0
217,,2020-03-17T15:53:13,5,0,0
218,,2020-03-16T00:22:11,5,0,0
219,,2020-03-17T12:33:06,4,0,0
220,,2020-03-17T12:33:07,3,0,0
221,,2020-03-17T17:53:03,3,0,0
222,,2020-03-17T12:33:06,3,0,0
223,,2020-03-15T18:20:19,3,0,0
224,,2020-03-16T14:38:45,3,0,0
225,,2020-03-16T02:13:16,3,0,0
226,,2020-03-16T00:22:11,3,0,0
227,,2020-03-17T12:33:07,3,0,0
228,,2020-03-17T12:33:06,3,0,0
229,,2020-03-17T17:33:03,3,0,0
230,,2020-03-15T18:20:19,3,0,0
231,,2020-03-17T23:33:02,3,0,0
232,,2020-03-17T02:53:03,3,0,1
233,,2020-03-16T14:38:46,2,0,0
234,,2020-03-17T16:13:14,2,0,0
235,,2020-03-14T16:33:03,2,0,0
236,,2020-03-15T18:20:19,2,0,0
237,,2020-03-17T21:33:02,2,0,0
238,,2020-03-14T16:33:03,2,0,0
239,,2020-03-17T04:32:19,2,0,0
240,,2020-03-17T20:53:02,2,0,0
241,,2020-03-15T18:20:19,1,0,0
242,,2020-03-14T01:53:03,1,0,0
243,,2020-03-16T14:38:46,1,0,0
244,,2020-03-13T22:22:02,1,0,0
245,,2020-03-15T02:13:21,1,0,0
246,,2020-03-16T03:33:03,1,0,0
247,,2020-03-11T02:18:14,1,0,1
248,,2020-03-16T14:38:45,1,0,0
249,,2020-03-15T06:41:54,1,0,0
250,,2020-03-15T06:41:54,1,0,0
251,,2020-03-16T14:38:45,1,0,0
252,,2020-03-14T13:33:04,1,0,0
253,,2020-03-16T16:53:06,1,0,0
254,,2020-03-15T06:41:54,1,0,0
255,,2020-03-13T22:22:02,1,0,0
256,,2020-03-17T12:13:16,1,0,0
257,,2020-03-15T18:20:19,1,0,0
258,,2020-03-16T14:38:45,1,0,0
259,,2020-03-13T22:22:03,1,0,1
260,,2020-03-14T16:33:03,1,0,0
261,,2020-03-16T14:38:46,1,0,0
262,,2020-03-14T01:13:32,1,1,0
263,,2020-03-14T16:33:03,1,0,0
264,,2020-03-17T01:33:03,1,0,0
265,,2020-03-16T03:33:03,1,0,0
266,,2020-03-17T23:33:02,1,0,0
267,,2020-03-13T22:22:02,1,0,0
268,,2020-03-17T23:33:02,1,0,0
269,,2020-03-16T14:53:04,1,1,0
270,,2020-03-14T02:33:04,0,0,0
271,,2020-03-17T18:33:03,0,0,0
272,,2020-03-17T18:33:03,0,0,0
273,,2020-03-17T16:13:14,0,0,0
274,,2020-03-17T21:33:03,0,0,0
275,,2020-03-11T20:53:02,0,0,0
