,Date,Lie,Explanation,URL
83,"May 4, 2017","Number two, they’re actually not a currency [manipulator]. You know, since I’ve been talking about currency manipulation with respect to them and other countries, they stopped.",China stopped years ago.,https://www.nytimes.com/2017/04/07/world/asia/fact-check-trump-china-trade.html
84,"May 4, 2017",We’re the highest-taxed nation in the world.,We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
85,"May 4, 2017",Nobody cares about my tax return except for the reporters.,Polls show most Americans do care.,http://time.com/money/4732925/trump-tax-returns-released-poll/
86,"May 8, 2017",You know we’ve gotten billions of dollars more in NATO than we’re getting. All because of me.,The deal was struck in 2014.,https://www.nytimes.com/2017/03/01/us/politics/fact-check-trump-military.html
87,"May 8, 2017","But when I did his show, which by the way was very highly rated. It was high — highest rating. The highest rating he’s ever had.",Colbert's Late Show debut had nearly two million more viewers.,http://money.cnn.com/2017/05/11/media/stephen-colbert-trump-no-talent-comment/
88,"May 8, 2017","Director Clapper reiterated what everybody, including the fake media already knows — there is ‘no evidence’ of collusion w/ Russia and Trump.",Clapper only said he wasn't aware of an investigation.,https://www.nytimes.com/2017/05/10/us/politics/fact-check-fbi-james-comey-sarah-huckabee-sanders.html
89,"May 12, 2017","Again, the story that there was collusion between the Russians & Trump campaign was fabricated by Dems as an excuse for losing the election.",The F.B.I. was investigating before the election.,https://www.nytimes.com/interactive/2017/05/10/us/politics/fbi-congress-trump-russia-investigations.html
90,"May 12, 2017","When James Clapper himself, and virtually everyone else with knowledge of the witch hunt, says there is no collusion, when does it end?",Clapper said he wouldn't have been told of an investigation into collusion.,https://www.nytimes.com/2017/05/10/us/politics/fact-check-fbi-james-comey-sarah-huckabee-sanders.html
91,"May 13, 2017",I'm cutting the price of airplanes with Lockheed.,The cost cuts were planned before he became president.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/
92,"May 26, 2017",Just arrived in Italy for the G7. Trip has been very successful. We made and saved the USA many billions of dollars and millions of jobs.,He's referencing an arms deal that's not enacted and other apparent deals that weren't announced on the trip.,https://www.washingtonpost.com/news/fact-checker/wp/2017/05/26/president-trumps-claim-that-hes-already-saved-millions-of-jobs-on-his-foreign-trip/?utm_term=.820dd5955428
93,"June 1, 2017","China will be allowed to build hundreds of additional coal plants. So, we can’t build the plants, but they can, according to this agreement. India will be allowed to double its coal production by 2020.",The agreement doesn’t allow or disallow building coal plants.,https://www.washingtonpost.com/news/the-fix/wp/2017/06/01/transcript-president-trumps-remarks-on-leaving-the-paris-climate-deal-annotated/?utm_term=.7f974232c4ba
94,"June 1, 2017","I’ve just returned from a trip overseas where we concluded nearly $350 billion of military and economic development for the United States, creating hundreds of thousands of jobs.",Trump’s figures are inflated and premature.,https://www.washingtonpost.com/news/fact-checker/wp/2017/06/08/the-trump-administrations-tally-of-350-billion-plus-in-deals-with-saudi-arabia/?utm_term=.142db3117855
95,"June 4, 2017",At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ‘no reason to be alarmed!’,The mayor was specifically talking about the enlarged police presence on the streets.,http://www.snopes.com/2017/06/04/london-mayor-sadiq-khan-no-reason-to-be-alarmed-trump/
96,"June 5, 2017","The Justice Dept. should have stayed with the original Travel Ban, not the watered down, politically correct version they submitted to S.C.","Trump signed this version of the travel ban, not the Justice Department.",http://www.factcheck.org/2017/06/trumps-tweets-twist-facts/
97,"June 20, 2017","Well, the Special Elections are over and those that want to MAKE AMERICA GREAT AGAIN are 5 and O!","Republicans have won four special elections this year, while a Democrat won one.",https://www.washingtonpost.com/news/the-fix/wp/2017/06/21/republicans-claim-a-big-victory-and-trump-promptly-exaggerates-it/?utm_term=.ce22a6dade36
98,"June 21, 2017",They all say it's 'nonbinding.' Like hell it's nonbinding.,The Paris climate agreement is nonbinding — and Trump said so in his speech announcing the withdrawal.,https://www.nytimes.com/2017/06/21/us/politics/trump-iowa-rally-venting-session.html
99,"June 21, 2017","Right now, we are one of the highest-taxed nations in the world.",We're not.,http://www.politifact.com/truth-o-meter/article/2017/jun/22/fact-checking-nine-things-trump-overstated-got-wro/
100,"June 21, 2017","You have a gang called MS-13. ... We are moving them out of the country by the thousands, by the thousands.",The real number of gang members deported is smaller.,http://www.factcheck.org/2017/06/factchecking-trumps-iowa-rally
101,"June 21, 2017",Your insurance companies have all fled the state of Iowa.,They haven't.,http://www.factcheck.org/2017/06/factchecking-trumps-iowa-rally/
102,"June 21, 2017","If [farmers] have a puddle in the middle of their field ... it's considered a lake and you can't touch it. ... We got rid of that one, too, O.K.?",The Obama environmental rule to limit pollution in the country’s waters explicitly excludes puddles.,https://www.nytimes.com/2017/06/22/us/politics/factcheck-donald-trump-iowa-rally.html
103,"June 21, 2017","Gary Cohn just paid $200 million in tax in order to take this job, by the way.",Cohn sold Goldman Sachs stock worth $220 million.,https://www.nytimes.com/2017/06/22/us/politics/factcheck-donald-trump-iowa-rally.html
104,"June 21, 2017",We’re 5 and 0.,"Republicans have won four special elections this year, while a Democrat won one.",https://www.washingtonpost.com/graphics/politics/trump-claims-database/?utm_term=.60ce71155f60
105,"June 21, 2017","Last week a brand-new coal mine just opened in the state of Pennsylvania, first time in decades, decades.",Another coal mine opened in 2014.,https://www.washingtonpost.com/graphics/politics/trump-claims-database/?utm_term=.60ce71155f60
106,"June 22, 2017",Former Homeland Security Advisor Jeh Johnson is latest top intelligence official to state there was no grand scheme between Trump & Russia.,"Johnson, who had a different title, didn't say that.",http://talkingpointsmemo.com/livewire/trump-claims-johnson-testimony-clears-him
107,"June 23, 2017",We are 5 and 0 ... in these special elections.,"Republicans have won four special elections this year, while a Democrat won one.",http://www.chicagotribune.com/news/nationworld/politics/factcheck/ct-fact-check-trump-missions-20170624-story.html
108,"June 27, 2017",Ratings way down!,CNN's ratings were at a five-year high at the time.,http://www.politifact.com/truth-o-meter/statements/2017/jul/03/donald-trump/trumps-pants-fire-claim-cnn-ratings-are-way-down/
109,"June 28, 2017",Democrats purposely misstated Medicaid under new Senate bill — actually goes up.,Senate bill would have cut the program deeply.,https://www.washingtonpost.com/news/fact-checker/wp/2017/06/30/president-trumps-claim-medicaid-spending-in-senate-health-bill-actually-goes-up/?utm_term=.a319dee54870
110,"June 29, 2017","General Kelly and his whole group — they’ve gotten rid of 6,000 so far.",The real number of MS-13 gang members who have been deported is smaller.,https://www.washingtonpost.com/graphics/politics/trump-claims-database/?utm_term=.aa961e129167
111,"July 6, 2017","As a result of this insistence, billions of dollars more have begun to pour into NATO.",NATO countries agreed to meet defense spending requirements in 2014.,http://www.nbcnews.com/politics/donald-trump/fact-check-long-trump-took-credit-nato-spending-was-n780241
112,"July 17, 2017","We’ve signed more bills — and I’m talking about through the legislature — than any president, ever.","Clinton, Carter, Truman, and F.D.R. had signed more at the same point.",https://www.nytimes.com/2017/07/17/us/politics/trump-laws-bills.html
113,"July 19, 2017","Um, the Russian investigation — it’s not an investigation, it’s not on me — you know, they’re looking at a lot of things.",It is.,http://time.com/4823514/donald-trump-investigation-jay-sekulow/
114,"July 19, 2017","I heard that Harry Truman was first, and then we beat him. These are approved by Congress. These are not just executive orders.","Presidents Clinton, Carter, Truman, and F.D.R. each had signed more legislation than Trump at the same point in their terms.",https://www.nytimes.com/2017/07/17/us/politics/trump-laws-bills.html
115,"July 19, 2017","But the F.B.I. person really reports directly to the president of the United States, which is interesting.",He reports directly to the attorney general.,https://www.usatoday.com/story/news/politics/onpolitics/2017/07/20/fbi-director-reports-justice-department-not-president/495094001/
116,"July 19, 2017","She did the uranium deal, which is a horrible thing, while she was secretary of state, and got a lot of money.",There's no evidence Hillary Clinton was actively involved or benefited from the deal.,http://www.factcheck.org/2017/10/facts-uranium-one/
117,"July 24, 2017","It looks like about 45,000 people. You set a record today.","Many fewer than 45,000 were there, and the attendance was not a record.",https://www.washingtonpost.com/news/fact-checker/wp/2017/07/26/26-hours-29-trumpian-false-or-misleading-claims/?utm_term=.2e4b2407199f
118,"July 25, 2017","We have the highest taxes anywhere in the world, and this will really bring them down to one of the lowest.","Tax rates in the United States are below average, overall and for an industrialized country.",http://www.politifact.com/truth-o-meter/statements/2017/oct/18/donald-trump/once-again-trump-overstates-us-tax-ranking/
119,"July 25, 2017",We’re the highest-taxed nation in the world,We're not.,http://www.politifact.com/truth-o-meter/statements/2017/oct/18/donald-trump/once-again-trump-overstates-us-tax-ranking/
120,"July 25, 2017",We have nearly doubled the number of veterans given approvals to see the doctor of their choice.,The increase was 26 percent.,https://www.usatoday.com/story/opinion/2017/07/24/veterans-health-care-will-not-be-privatized-david-shulkin-column/499417001/
121,"July 25, 2017",Since I took office we have cut illegal immigration on our southern border by record numbers. 78 percent.,The decline began before Trump's inauguration.,https://www.nytimes.com/interactive/2017/10/12/us/politics/trump-border-claim-factcheck.html?_r=0
122,"July 28, 2017","The previous administration enacted an open-door policy to illegal migrants from Central America.  ""Welcome in. Come in, please, please.",Obama deported millions.,http://www.politifact.com/truth-o-meter/article/2017/jul/28/fact-checking-donald-trumps-ny-speech-law-enforcem/
123,"July 28, 2017",We have trade deficits with almost every country because we had a lot of really bad negotiators making deals with other countries.,The U.S. has a trade surplus with more than 100 countries.,https://www.bea.gov/newsreleases/international/trade/2017/trad0917.htm
124,"July 31, 2017",2.6 is a number that nobody thought they’d see for a long period of time.,Many experts predicted economic growth at least this high.,http://www.factcheck.org/2017/08/trumps-gdp-puffery/
125,"July 31, 2017","And even the President of Mexico called me  – they said their southern border, very few people are coming because they know they’re not going to get through our border, which is the ultimate compliment.",Mexico's president says he didn't call Trump.,http://www.cnn.com/2017/08/02/politics/trump-phone-calls/index.html
126,"Aug. 1, 2017","And I think to me, maybe the biggest is that GDP for the quarter just released at 2.6 percent. So that's so much higher than anticipated.",It wasn't.,http://www.factcheck.org/2017/08/trumps-gdp-puffery/
127,"Aug. 3, 2017",Economic growth has surged to 2.6% nationwide. You have to understand what that means. Nobody thought that number was going to happen.,Many experts predicted that.,https://www.usatoday.com/story/news/politics/2017/08/04/fact-checking-donald-trumps-west-virginia-rally/541318001/
128,"Aug. 3, 2017",The Russia story is a total fabrication.,It's not.,https://www.washingtonpost.com/news/fact-checker/wp/2017/08/03/fact-checking-the-trump-russia-investigation/?utm_term=.1404a36076a6
129,"Aug. 3, 2017",Or let them look at the uranium she sold that is now in the hands of very angry Russians.,There's no evidence Hillary Clinton was actively involved in the sale.,http://www.factcheck.org/2017/08/factchecking-trumps-west-virginia-rally/
130,"Aug. 15, 2017","We want products made in the country. Now, I have to tell you, some of the folks that will leave, they're leaving out of embarrassment because they make their products outside.",People resigned from Trump's business councils over his Charlottesville comments.,http://money.cnn.com/2017/08/16/news/trump-manufacturing-council-ceos/index.html
131,"Aug. 22, 2017","Remember, everybody said you won’t bring it up to 1 percent. You won’t bring it up to 1.2 percent.",Many experts predicted economic growth at least this high.,https://washingtonmonthly.com/2017/08/23/quick-takes-how-many-lies-did-trump-tell-last-night/
132,"Aug. 22, 2017","I mean truly dishonest people in the media and the fake media, they make up stories. They have no sources in many cases. They say 'a source says'  – there is no such thing.",The media does not make up sources.,http://www.factcheck.org/2017/02/factchecking-trumps-cpac-speech/
133,"Aug. 22, 2017","As everybody here remembers, this was the scene of my first rally speech, right?",Trump's first rally was in New Hampshire,https://www.realclearpolitics.com/articles/2015/06/18/at_trumps_nh_rally_true_believers_and_big_fans_127030.html
134,"Aug. 22, 2017",We have become an energy exporter for the first time ever just recently.,The U.S. isn't projected to become a net energy exporter until 2026.,http://www.politifact.com/truth-o-meter/statements/2017/aug/23/donald-trump/donald-trump-wrongly-says-us-net-energy-exporte/
135,"Aug. 22, 2017","Look back there, the live red lights. They're turning those suckers off fast out there. They're turning those lights off fast. Like CNN.",CNN didn't turn off its cameras.,http://www.cnn.com/2017/08/23/politics/phoenix-rally-things-trump-got-wrong/index.html
136,"Sept. 6, 2017",The taxes are crazy  – the highest-taxed nation in the world.,We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
137,"Sept. 6, 2017",We are the highest taxed nation in the world - that will change.,We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
138,"Sept. 8, 2017","Our incredible U.S. Coast Guard saved more than 15,000 lives last week with Harvey.","The real number is 11,022.",https://content.govdelivery.com/accounts/USDHSCG/bulletins/1b5ace3
139,"Sept. 14, 2017","Also with the fact that I know in the case of FEMA and the case of Coast Guard, the job you've done in saving people, saving lives.  As an example, in Harvey in Texas, we talked  – over 16,000 lives.",The real number is smaller.,https://content.govdelivery.com/accounts/USDHSCG/bulletins/1b5ace3
140,"Sept. 14, 2017",And in Florida you got hit with the strongest winds ever recorded.,They weren't the strongest ever recorded.,https://www.washingtonpost.com/news/post-nation/wp/2017/09/09/destructive-winds-rain-hit-florida-as-hurricane-irma-approaches/
141,"Sept. 22, 2017","We've been dealing with ICE, we've been dealing with the Border Patrol. They both endorsed me.",Neither agency endorsed him; only their unions did.,http://www.politifact.com/truth-o-meter/statements/2016/oct/10/donald-trump/trump-says-ice-endorsed-him/
142,"Sept. 22, 2017","So he started off here, he was in third or fourth, he went to third, second, and now it's like almost pretty even.",Strange consistently polled first or second in the Alabama Republican primary.,https://www.realclearpolitics.com/epolls/2017/senate/al/alabama_senate_special_election_republican_primary-6220.html#polls
143,"Sept. 29, 2017","With the F-35 fighter plane  – me, myself  – I've saved hundreds of millions of dollars in negotiating.",The cost cuts were planned before he became president.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/?utm_term=.ef182851faef
144,"Sept. 27, 2017","I’m doing the right thing, and it’s not good for me.",All available evidence suggests he would benefit.,https://www.washingtonpost.com/news/fact-checker/wp/2017/09/28/fact-checking-president-trumps-tax-speech-in-indianapolis/?utm_term=.1c2a17457496
145,"Sept. 27, 2017","To protect millions of small businesses and the American farmer, we are finally ending the crushing, the horrible, the unfair estate tax.",The real number of small businesses and farmers is vastly smaller.,http://www.politifact.com/truth-o-meter/statements/2017/sep/28/donald-trump/donald-trumps-pants-fire-claim-about-estate-tax-sm/
146,"Sept. 27, 2017","No, I don't benefit. I don't benefit. In fact, very very strongly, as you see, I think there's very little benefit for people of wealth.",The tax plan would personally benefit Trump and other wealthy individuals.,http://www.politifact.com/truth-o-meter/statements/2017/sep/28/donald-trump/donald-trumps-dubious-claim-his-tax-plan-wont-bene/
147,"Sept. 27, 2017","Facebook was always anti-Trump.The Networks were always anti-Trump hence,Fake News, @nytimes(apologized) & @WaPo were anti-Trump.",The Times did not apologize for its Trump coverage.,https://www.nytimes.com/2016/11/13/us/elections/to-our-readers-from-the-publisher-and-executive-editor.html
148,"Sept. 28, 2017","I mean right now, we're the highest-taxed nation in the world.",We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
149,"Oct. 3, 2017","But the Coast Guard itself saved in Texas 16,000 lives, and they went right through that hurricane.",The real number is smaller.,https://content.govdelivery.com/accounts/USDHSCG/bulletins/1b5ace3
150,"Oct. 3, 2017","But that's an expensive plane that you can't see. And as you probably heard, we cut the price very substantially  – something that other administrations would never have done, that I can tell you.",The cost cuts were planned before he became president.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/?utm_term=.ef182851faef
151,"Oct. 6, 2017",I was able to reduce the price of the Lockheed by billions of dollars.,The cost cuts were planned before he became president.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/?utm_term=.ef182851faef
152,"Oct. 6, 2017","We're the highest-taxed developed nation in the world, probably the highest-taxed nation in the world.",We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
153,"Oct. 6, 2017",They also just said that there has been absolutely no collusion. They just said that. Yesterday. Two days ago. Senate. There has been no collusion.,The Senate didn't say that.,http://www.cnn.com/TRANSCRIPTS/1710/04/ip.02.html
154,"Oct. 6, 2017","This tax cut and tax reform is going very well, and it's going to be a tremendous boost for our country, including the fact that we're the highest-taxed nation in the world.",We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
155,"Oct. 7, 2017",We're the highest-taxed nation in the world.,We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
156,"Oct. 7, 2017","The Coast Guard, in Texas, and all over, but with the job they did in Texas, I saw, they saved 16,000 lives.",The real number is smaller.,https://content.govdelivery.com/accounts/USDHSCG/bulletins/1b5ace3
157,"Oct. 7, 2017",Obama should have never gotten out the way he got out. That's how ISIS formed.,The group’s origins date to 2004.,https://www.nytimes.com/2015/11/19/world/middleeast/in-rise-of-isis-no-single-missed-key-but-many-strands-of-blame.html
158,"Oct. 10, 2017","The Failing @nytimes set Liddle' Bob Corker up by recording his conversation. Was made to sound a fool, and that's what I am dealing with!",Corker asked the Times reporter to record the call; his aides recorded it too.,https://www.nytimes.com/2017/10/10/reader-center/trump-claims-we-tricked-bob-corker-heres-the-truth.html?_r=0
159,"Oct. 10, 2017",We're the highest-taxed nation in the world.,We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
160,"Oct. 11, 2017","We have missiles that can knock out a missile in the air. Ninety seven per cent of the time. If you send two of them, it's going to get knocked out.",The effectiveness rate is about 60 percent.,https://warontherocks.com/2017/10/deadly-overconfidence-trump-thinks-missile-defenses-work-against-north-korea-and-that-should-scare-you/
161,"Oct. 16, 2017",We're the highest-taxed country in the world.,We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
162,"Oct. 16, 2017",I hear that Ireland is going to be reducing their corporate rates down to 8 percent from 12.,Ireland has no plans to cut its tax rate.,https://www.snopes.com/trump-ireland-tax/
163,"Oct. 16, 2017","If you look at President Obama and other presidents, most of them didn’t make calls.",They did call families of soldiers killed in action.,https://www.nytimes.com/2017/10/16/us/politics/trump-obama-killed-soldiers.html
164,"Oct. 16, 2017","All I can say is it's totally fake news, just fake. It's fake. It's made-up stuff, and it's disgraceful what happens, but that happens in the world of politics.",Trump himself has bragged about groping women.,https://www.washingtonpost.com/news/fact-checker/wp/2017/10/27/trump-says-sex-harassment-claims-are-fake-news-but-there-are-corroborators/?utm_term=.23c3b28384e2
165,"Oct. 17, 2017",We're the highest taxed nation in the world.,We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
166,"Oct. 17, 2017","Right now, we are the highest-taxed nation anywhere in the world. You can even say developed or undeveloped.",We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
167,"Oct. 17, 2017","As far as I'm concerned, I think we're really essentially the highest. But if you'd like to add the developed nation, you can say that, too.",Taxes in the U.S. are lower than in most developed countries.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
168,"Oct. 17, 2017",We're the highest-taxed nation in the world. We are taxed beyond belief.,We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
169,"Oct. 17, 2017","Well, we're the highest-taxed nation in the world.",We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
170,"Oct. 17, 2017",I wish President Obama didn't get out the way he got out. Because that left a vacuum and ISIS was formed.,The group’s origins date to 2004.,https://www.nytimes.com/2015/11/19/world/middleeast/in-rise-of-isis-no-single-missed-key-but-many-strands-of-blame.html
171,"Oct. 18, 2017",Democrat Congresswoman totally fabricated what I said to the wife of a soldier who died in action (and I have proof).,The wife confirmed Representative Frederica Wilson's account.,http://time.com/4993045/myeshia-johnson-donald-trump-frederica-wilson/
172,"Oct. 18, 2017","The Coast Guard in Texas saved 16,000 lives.",The real number was smaller.,https://content.govdelivery.com/accounts/USDHSCG/bulletins/1b5ace3
173,"Oct. 18, 2017",Nobody has ever heard of a five hitting land.,Category 5 storms have hit land before.,http://www.cnn.com/2017/09/07/us/three-category-5-hurricanes-landfall-trnd/index.html
174,"Oct. 24, 2017","Under our plan, more than 30 million Americans who own small businesses will get a 40 per cent cut to their top marginal tax rate.",The real number is estimated to be less than 1 million.,http://www.businessinsider.com/trump-small-business-tax-cut-pass-through-s-corporations-2017-10
175,"Oct. 25, 2017",We have trade deficits with almost everybody.,We have trade surpluses with more than 100 countries.,https://www.bea.gov/newsreleases/international/trade/2017/trad0917.htm
176,"Oct. 27, 2017","Wacky & totally unhinged Tom Steyer, who has been fighting me and my Make America Great Again agenda from beginning, never wins elections!",Steyer has financially supported many winning candidates.,https://www.opensecrets.org/donor-lookup/results?name=Thomas+Steyer
177,"Nov. 1, 2017","Again, we're the highest-taxed nation, just about, in the world.",We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
178,"Nov. 7, 2017","When you look at the city with the strongest gun laws in our nation, it's Chicago.","Several other cities, including New York and Los Angeles, have stronger gun laws.",http://www.politifact.com/truth-o-meter/statements/2017/nov/07/donald-trump/trump-wrongly-repeats-chicago-has-strongest-gun-la/
179,"Nov. 11, 2017","I'd rather have him  – you know, work with him on the Ukraine than standing and arguing about whether or not  – because that whole thing was set up by the Democrats.","There is no evidence that Democrats ""set up"" Russian interference in the election.",https://www.nytimes.com/interactive/2017/12/10/us/politics/trump-and-russia.html
